S1,S2,S3,S4,S5,S6,S7,S8,Class
14,6,7,-2,-9,14,47,6,A
-7,10,3,-21,10,-8,2,0,A
-9,-9,-14,-2,4,-5,-9,3,A
-18,-23,-9,13,15,26,18,-3,A
3,-9,-4,-9,-20,-7,-20,-1,A
0,9,3,0,-1,-7,-28,-1,A
-2,16,6,-5,-15,-6,-21,-2,A
2,-9,-10,4,12,-22,16,-2,A
-7,-2,-2,7,2,4,47,3,A
0,-15,-7,-16,8,1,13,1,A
-12,2,0,6,-2,-11,-11,-5,A
-11,-4,-7,-10,-2,9,-2,0,A
-5,-19,-7,-9,-1,-3,5,-2,A
0,-2,-4,46,4,-5,20,-2,A
6,-10,1,7,2,13,13,10,A
4,5,-5,-3,-23,-12,-21,3,A
2,-7,13,-28,11,-14,-29,-6,A
0,17,8,-7,6,7,-6,-1,A
7,-3,0,-1,7,19,-18,-3,A
6,-2,-8,-15,-5,-53,-125,1,A
1,-9,-13,-20,-46,8,104,9,A
0,0,4,-1,4,-5,-7,0,A
3,11,11,-18,0,-16,-53,-18,A
13,15,-4,26,1,4,51,-3,A
5,-12,-19,19,28,-2,-84,6,A
-16,8,-4,-4,-16,25,90,5,A
-3,10,14,-22,-49,-34,-9,-1,A
-2,-4,-7,8,-13,18,50,-1,A
-16,19,-10,30,-2,0,11,-9,A
5,7,-10,-15,59,-6,35,0,A
6,8,5,-39,9,37,-17,6,A
-6,4,6,5,11,16,32,4,A
-5,5,4,17,-14,-16,-7,-3,A
-6,-1,-3,2,11,-20,-12,-9,A
-5,-26,-11,-9,-3,1,-49,-1,A
2,1,-4,5,7,-2,-88,-4,A
10,25,-1,7,25,14,-1,-9,A
-1,7,13,6,14,-14,-16,-8,A
-8,5,0,-6,-26,6,-21,-5,A
2,1,12,-9,-8,0,54,7,A
3,-19,-9,-6,-11,4,-14,-2,A
-6,0,0,-1,5,-7,-3,-1,A
1,-5,4,3,0,-8,-5,11,A
1,-10,-1,1,13,-11,-21,-9,A
3,-12,-4,-21,-6,7,36,0,A
-5,14,-3,-31,-16,-6,8,-1,A
-1,0,2,8,-24,-4,-20,0,A
8,4,-1,0,3,-13,-14,4,A
11,7,-1,-2,32,-32,-5,-3,A
2,0,-4,-9,2,-8,15,1,A
-7,-10,1,-4,12,21,10,-4,A
-2,-11,-10,-13,8,8,-7,-4,A
-2,1,-7,-24,-32,5,18,13,A
-2,7,4,-8,0,-14,20,0,A
-5,-4,4,33,11,-7,-37,-6,A
6,1,7,19,6,14,41,1,A
-1,-6,6,27,3,-19,6,3,A
-6,-8,-10,-1,5,-5,-18,-6,A
5,-10,-7,13,8,46,66,3,A
0,-14,-10,11,-1,5,26,-1,A
3,-2,0,-10,-9,11,29,6,A
12,2,-4,3,3,17,70,2,A
3,10,6,6,21,9,3,-3,A
4,6,-2,-13,-7,-1,-27,-4,A
4,6,-9,-13,-20,-17,-29,1,A
1,-15,-3,18,12,-4,-32,-1,A
0,-6,0,4,6,-14,-21,-8,A
7,-5,4,-12,2,-7,-15,0,A
-3,-3,-5,19,10,-3,-3,2,A
-5,-10,-15,-48,-8,1,-6,-2,A
18,5,-1,15,8,15,-21,2,A
1,1,-1,5,-4,6,-14,-4,A
3,-8,3,11,4,1,4,-2,A
1,-7,-9,-7,-10,-2,-55,-18,A
-5,8,-5,10,-6,-10,6,1,A
9,-12,-1,11,-1,-29,-4,3,A
-8,-18,-9,-6,13,16,29,-1,A
